asset,time,CapMVRVCur
btc,2023-10-13T00:00:00.000000000Z,1.321220609655
btc,2023-10-14T00:00:00.000000000Z,1.321559699731
btc,2023-10-15T00:00:00.000000000Z,1.334644980263
btc,2023-10-16T00:00:00.000000000Z,1.401484702482
btc,2023-10-17T00:00:00.000000000Z,1.397569787083
btc,2023-10-18T00:00:00.000000000Z,1.392147247637
btc,2023-10-19T00:00:00.000000000Z,1.410163206398
btc,2023-10-20T00:00:00.000000000Z,1.458847579295
btc,2023-10-21T00:00:00.000000000Z,1.469157536053
btc,2023-10-22T00:00:00.000000000Z,1.471860430263
btc,2023-10-23T00:00:00.000000000Z,1.613500605985
btc,2023-10-24T00:00:00.000000000Z,1.654397557736
btc,2023-10-25T00:00:00.000000000Z,1.681601781377
btc,2023-10-26T00:00:00.000000000Z,1.663662918099
btc,2023-10-27T00:00:00.000000000Z,1.648793504518
btc,2023-10-28T00:00:00.000000000Z,1.65738945553
btc,2023-10-29T00:00:00.000000000Z,1.679987904494
btc,2023-10-30T00:00:00.000000000Z,1.674700476949
btc,2023-10-31T00:00:00.000000000Z,1.679986208289
btc,2023-11-01T00:00:00.000000000Z,1.715331297044
btc,2023-11-02T00:00:00.000000000Z,1.687432786238
btc,2023-11-03T00:00:00.000000000Z,1.677473281454
btc,2023-11-04T00:00:00.000000000Z,1.695198047921
btc,2023-11-05T00:00:00.000000000Z,1.69531363252
btc,2023-11-06T00:00:00.000000000Z,1.690062847822
btc,2023-11-07T00:00:00.000000000Z,1.707693280842
btc,2023-11-08T00:00:00.000000000Z,1.724477503
btc,2023-11-09T00:00:00.000000000Z,1.762200964364
btc,2023-11-10T00:00:00.000000000Z,1.792853668717
btc,2023-11-11T00:00:00.000000000Z,1.773581111946
btc,2023-11-12T00:00:00.000000000Z,1.776498366314
btc,2023-11-13T00:00:00.000000000Z,1.751221714879
btc,2023-11-14T00:00:00.000000000Z,1.705402061503
btc,2023-11-15T00:00:00.000000000Z,1.810152914492
btc,2023-11-16T00:00:00.000000000Z,1.729237075753
btc,2023-11-17T00:00:00.000000000Z,1.747806543208
btc,2023-11-18T00:00:00.000000000Z,1.74769689693
btc,2023-11-19T00:00:00.000000000Z,1.78814575059
btc,2023-11-20T00:00:00.000000000Z,1.789732455017
btc,2023-11-21T00:00:00.000000000Z,1.717720966087
btc,2023-11-22T00:00:00.000000000Z,1.780655097435
btc,2023-11-23T00:00:00.000000000Z,1.775570834214
btc,2023-11-24T00:00:00.000000000Z,1.793664605571
btc,2023-11-25T00:00:00.000000000Z,1.796938311512
btc,2023-11-26T00:00:00.000000000Z,1.781247130023
btc,2023-11-27T00:00:00.000000000Z,1.768699884325
btc,2023-11-28T00:00:00.000000000Z,1.795694998493
btc,2023-11-29T00:00:00.000000000Z,1.794443185541
btc,2023-11-30T00:00:00.000000000Z,1.787790724759
btc,2023-12-01T00:00:00.000000000Z,1.831958430263
btc,2023-12-02T00:00:00.000000000Z,1.866562636124
btc,2023-12-03T00:00:00.000000000Z,1.88957149278
btc,2023-12-04T00:00:00.000000000Z,1.974157660867
btc,2023-12-05T00:00:00.000000000Z,2.070210110876
btc,2023-12-06T00:00:00.000000000Z,2.049004981703
btc,2023-12-07T00:00:00.000000000Z,2.024192806038
btc,2023-12-08T00:00:00.000000000Z,2.063554127808
btc,2023-12-09T00:00:00.000000000Z,2.040603828859
btc,2023-12-10T00:00:00.000000000Z,2.039126541822
btc,2023-12-11T00:00:00.000000000Z,1.920421604102
btc,2023-12-12T00:00:00.000000000Z,1.928403638971
btc,2023-12-13T00:00:00.000000000Z,1.994507456072
btc,2023-12-14T00:00:00.000000000Z,1.997076014934
btc,2023-12-15T00:00:00.000000000Z,1.945584187067
btc,2023-12-16T00:00:00.000000000Z,1.954587603816
btc,2023-12-17T00:00:00.000000000Z,1.918432937883
btc,2023-12-18T00:00:00.000000000Z,1.970997560336
btc,2023-12-19T00:00:00.000000000Z,1.952266717846
btc,2023-12-20T00:00:00.000000000Z,2.010355157868
btc,2023-12-21T00:00:00.000000000Z,2.02055347695
btc,2023-12-22T00:00:00.000000000Z,2.024349186253
btc,2023-12-23T00:00:00.000000000Z,2.012046953684
btc,2023-12-24T00:00:00.000000000Z,1.978993772604
btc,2023-12-25T00:00:00.000000000Z,2.002168071468
btc,2023-12-26T00:00:00.000000000Z,1.947666354666
btc,2023-12-27T00:00:00.000000000Z,1.98454282113
btc,2023-12-28T00:00:00.000000000Z,1.948191066046
btc,2023-12-29T00:00:00.000000000Z,1.915289168243
btc,2023-12-30T00:00:00.000000000Z,1.923525954915
btc,2023-12-31T00:00:00.000000000Z,1.923147103068
btc,2024-01-01T00:00:00.000000000Z,2.005011405976
btc,2024-01-02T00:00:00.000000000Z,2.041843744783
btc,2024-01-03T00:00:00.000000000Z,1.941607815328
btc,2024-01-04T00:00:00.000000000Z,1.991280476371
btc,2024-01-05T00:00:00.000000000Z,1.983754393826
btc,2024-01-06T00:00:00.000000000Z,1.972626827535
btc,2024-01-07T00:00:00.000000000Z,1.968589392178
btc,2024-01-08T00:00:00.000000000Z,2.105199604079
btc,2024-01-09T00:00:00.000000000Z,2.061111820714
btc,2024-01-10T00:00:00.000000000Z,2.090437479903
btc,2024-01-11T00:00:00.000000000Z,2.06755309096
btc,2024-01-12T00:00:00.000000000Z,1.910157143573
btc,2024-01-13T00:00:00.000000000Z,1.911017344621
btc,2024-01-14T00:00:00.000000000Z,1.868072683047
btc,2024-01-15T00:00:00.000000000Z,1.895817002527
btc,2024-01-16T00:00:00.000000000Z,1.915131498731
btc,2024-01-17T00:00:00.000000000Z,1.892920670298
btc,2024-01-18T00:00:00.000000000Z,1.826405496575
btc,2024-01-19T00:00:00.000000000Z,1.840326498572
btc,2024-01-20T00:00:00.000000000Z,1.842828285649
btc,2024-01-21T00:00:00.000000000Z,1.836787376079
btc,2024-01-22T00:00:00.000000000Z,1.750703117876
btc,2024-01-23T00:00:00.000000000Z,1.75685238167
btc,2024-01-24T00:00:00.000000000Z,1.769398537471
btc,2024-01-25T00:00:00.000000000Z,1.759912897525
btc,2024-01-26T00:00:00.000000000Z,1.843658004535
btc,2024-01-27T00:00:00.000000000Z,1.854538165179
btc,2024-01-28T00:00:00.000000000Z,1.847823938144
btc,2024-01-29T00:00:00.000000000Z,1.900281404617
btc,2024-01-30T00:00:00.000000000Z,1.884454643724
btc,2024-01-31T00:00:00.000000000Z,1.865776569305
btc,2024-02-01T00:00:00.000000000Z,1.883692689819
btc,2024-02-02T00:00:00.000000000Z,1.888479126867
btc,2024-02-03T00:00:00.000000000Z,1.880647419447
btc,2024-02-04T00:00:00.000000000Z,1.862423695961
btc,2024-02-05T00:00:00.000000000Z,1.863325630825
btc,2024-02-06T00:00:00.000000000Z,1.881777313878
btc,2024-02-07T00:00:00.000000000Z,1.929905898886
btc,2024-02-08T00:00:00.000000000Z,1.974244701407
btc,2024-02-09T00:00:00.000000000Z,2.050894304805
btc,2024-02-10T00:00:00.000000000Z,2.075743628106
btc,2024-02-11T00:00:00.000000000Z,2.091679256465
btc,2024-02-12T00:00:00.000000000Z,2.163451148703
btc,2024-02-13T00:00:00.000000000Z,2.144571750971
